title,author,volume,page,grade
The Ugly Duckling,Hans C. Andersen, I, 294,GRADE I
The Tinder-Box,Hans C. Andersen, I, 307,GRADE I
The Constant Tin Soldier,Hans C. Andersen, I, 317,GRADE I
The Fir Tree,Hans C. Andersen, I, 323,GRADE I
The Flying Trunk,Hans C. Andersen, I, 334,GRADE I
The Darning Needle,Hans C. Andersen, I, 342,GRADE I
Cinderella,Miss Mulock, I, 350,GRADE I
Little Red Riding-Hood,Charles Perrault, I, 359,GRADE I
The Story of the Three Bears,Robert Southey, I, 362,GRADE I
Jack the Giant-Killer,Joseph Jacobs, I, 374,GRADE I
Tom Thumb,Joseph Jacobs, I, 381,GRADE I
Beauty and the Beast,Mme. d'Aulnoy, I, 426,GRADE I
Jack and the Beanstalk,Anonymous, I, 444,GRADE I
Hop-o'-My-Thumb,Joseph Jacobs, I, 458,GRADE I
The Crow and the Pitcher,Aesop, I, 498,GRADE I
The Lion and the Mouse,Aesop, I, 508,GRADE I
The Tale of Peter Rabbit,Beatrix Potter, VIII, 443,GRADE I
The Giraffe,Anonymous, VIII, 458,GRADE I
Sing a Song of Sixpence,Anonymous, X, 21,GRADE I
"A Diller, A Dollar",Anonymous, X, 21,GRADE I
Simple Simon,Anonymous, X, 22,GRADE I
Little Boy Blue,Anonymous, X, 22,GRADE I
Daffy-Down-Dilly,Anonymous, X, 22,GRADE I
Little Nancy Etticote,Anonymous, X, 22,GRADE I
When I Was a Bachelor,Anonymous, X, 23,GRADE I
"Great A, Little a",Anonymous, X, 23,GRADE I
"Pussy-Cat, Pussy-Cat",Anonymous, X, 23,GRADE I
Higgley Piggley,Anonymous, X, 28,GRADE I
Humpty Dumpty,Anonymous, X, 24,GRADE I
Curly Locks!,Anonymous, X, 24,GRADE I
The North Wind Doth Blow,Anonymous, X, 24,GRADE I
Jack Sprat,Anonymous, X, 24,GRADE I
Come Let's to Bed,Anonymous, X, 24,GRADE I
Pease Pudding. Hot,Anonymous, X, 25,GRADE I
Solomon Grundy,Anonymous, X, 25,GRADE I
"Ding, Dong, Bell",Anonymous, X, 25,GRADE I
There Was an Old Woman Toss'd Up in a Basket,Anonymous, X, 26,GRADE I
Little Miss Muffet,Anonymous, X, 26,GRADE I
Little Jack Horner,Anonymous, X, 26,GRADE I
"Hey! Diddle, Diddle",Anonymous, X, 26,GRADE I
This Is the Way the Ladies Ride,Anonymous, X, 27,GRADE I
Little Bo-Peep,Anonymous, X, 27,GRADE I
Old King Cole,Anonymous, X, 28,GRADE I
Jack and Jill,Anonymous, X, 28,GRADE I
Little Polly Flinders,Anonymous, X, 28,GRADE I
"To Market, to Market, to Buy a Fat Pig",Anonymous, X, 28,GRADE I
The Queen of Hearts,Anonymous, X, 29,GRADE I
"Blow, Wind, Blow! and Go, Mill, Go!",Anonymous, X, 29,GRADE I
"Diddle, Diddle Dumpling, My Son John",Anonymous, X, 29,GRADE I
There Was an Old Woman Who Lived in a Shoe,Anonymous, X, 29,GRADE I
"Goosey, Goosey, Gander",Anonymous, X, 30,GRADE I
Ride a Cock-Horse,Anonymous, X, 30,GRADE I
"Where Are You Going, My Pretty Maid?",Anonymous, X, 30,GRADE I
"Baby Dear, Good Night, Good Night",Anonymous, X, 31,GRADE I
